SN,Source,Date,Open,High,Low,Adjusted_Close,Monthly_Nominal_GDP_Index,Monthly_Real_GDP_Index,Unemployment_Rate,Federal_Funds_Rate
81,amazon,2015-04-29,426.75,434.23999,426.029999,429.369995,18161.747,17387.295,5.4,0.12
82,amazon,2015-04-30,427.109985,431.75,419.23999,421.779999,18161.747,17387.295,5.4,0.12
83,amazon,2015-05-01,423.820007,425.640015,416.0,422.869995,18177.388,17356.219,5.6,0.12
84,amazon,2015-05-04,424.799988,429.769989,422.420013,423.040009,18177.388,17356.219,5.6,0.12
85,amazon,2015-05-05,422.850006,427.51001,421.019989,421.190002,18177.388,17356.219,5.6,0.12
86,amazon,2015-05-06,421.429993,422.720001,414.549988,419.100006,18177.388,17356.219,5.6,0.12
87,amazon,2015-05-07,424.149994,428.5,422.850006,426.880005,18177.388,17356.219,5.6,0.12
88,amazon,2015-05-08,430.75,435.200012,430.170013,433.690002,18177.388,17356.219,5.6,0.12
89,amazon,2015-05-11,432.51001,439.0,431.369995,432.850006,18177.388,17356.219,5.6,0.12
90,amazon,2015-05-12,431.079987,433.25,426.709991,431.019989,18177.388,17356.219,5.6,0.12
91,amazon,2015-05-13,429.980011,433.529999,425.799988,426.869995,18177.388,17356.219,5.6,0.12
92,amazon,2015-05-14,429.450012,433.0,427.01001,432.279999,18177.388,17356.219,5.6,0.12
93,amazon,2015-05-15,428.0,430.399994,424.299988,426.0,18177.388,17356.219,5.6,0.12
94,amazon,2015-05-18,426.0,427.269989,421.459991,425.23999,18177.388,17356.219,5.6,0.12
95,amazon,2015-05-19,424.869995,428.23999,420.630005,421.709991,18177.388,17356.219,5.6,0.12
96,amazon,2015-05-20,420.600006,427.100006,418.359985,423.859985,18177.388,17356.219,5.6,0.12
97,amazon,2015-05-21,428.0,436.899994,428.0,431.630005,18177.388,17356.219,5.6,0.12
98,amazon,2015-05-22,431.549988,432.440002,427.609985,427.630005,18177.388,17356.219,5.6,0.12
99,amazon,2015-05-26,426.200012,427.0,422.0,425.470001,18177.388,17356.219,5.6,0.12
100,amazon,2015-05-27,427.450012,431.850006,425.01001,431.420013,18177.388,17356.219,5.6,0.12
101,amazon,2015-05-28,429.709991,431.350006,425.470001,426.570007,18177.388,17356.219,5.6,0.12
102,amazon,2015-05-29,427.230011,432.5,427.230011,429.230011,18177.388,17356.219,5.6,0.12
103,amazon,2015-06-01,430.399994,433.160004,426.200012,430.920013,18241.986,17399.031,5.3,0.13
104,amazon,2015-06-02,430.070007,433.230011,426.25,430.98999,18241.986,17399.031,5.3,0.13
105,amazon,2015-06-03,434.399994,438.390015,432.75,436.589996,18241.986,17399.031,5.3,0.13
106,amazon,2015-06-04,434.399994,436.76001,429.26001,430.779999,18241.986,17399.031,5.3,0.13
