DATE,Monthly Nominal GDP Index,Monthly Real GDP Index
2006 - Oct,13966.228,15370.603
2006 - Nov,14059.402,15467.869
2006 - Dec,14093.049,15462.892
2007 - Jan,14135.142,15446.907
2007 - Feb,14286.331,15544.551
2007 - Mar,14225.480,15445.737
2007 - Apr,14363.148,15576.917
2007 - May,14400.852,15566.134
2007 - Jun,14442.246,15590.449
2007 - Jul,14423.376,15541.129
2007 - Aug,14601.628,15723.043
2007 - Sep,14667.347,15750.748
2007 - Oct,14664.477,15734.202
2007 - Nov,14714.968,15753.073
2007 - Dec,14765.729,15814.206
2008 - Jan,14802.115,15845.486
2008 - Feb,14627.617,15619.517
2008 - Mar,14689.881,15643.986
2008 - Apr,14757.848,15695.154
2008 - May,14802.087,15728.845
2008 - Jun,15037.169,15954.080
2008 - Jul,14973.643,15816.388
2008 - Aug,14917.066,15748.221
2008 - Sep,14806.288,15564.096
2008 - Oct,14695.001,15445.311
2008 - Nov,14698.739,15459.336
2008 - Dec,14430.884,15195.158
2009 - Jan,14478.482,15231.218
2009 - Feb,14443.179,15178.815
2009 - Mar,14371.043,15152.473
2009 - Apr,14360.251,15145.155
2009 - May,14378.024,15168.131
2009 - Jun,14405.433,15172.027
2009 - Jul,14376.500,15153.702
2009 - Aug,14479.861,15241.904
2009 - Sep,14490.285,15254.438
2009 - Oct,14694.021,15451.333
2009 - Nov,14665.827,15383.045
2009 - Dec,14593.896,15303.181
2010 - Jan,14707.075,15407.088
2010 - Feb,14735.595,15435.037
2010 - Mar,14851.162,15525.886
2010 - Apr,14945.188,15592.418
2010 - May,14956.616,15573.168
2010 - Jun,15038.774,15651.341
2010 - Jul,15111.443,15722.932
2010 - Aug,15108.425,15689.928
2010 - Sep,15204.947,15765.942
2010 - Oct,15286.871,15811.759
2010 - Nov,15264.938,15754.974
2010 - Dec,15376.604,15857.214
2011 - Jan,15257.491,15718.995
2011 - Feb,15282.046,15696.579
2011 - Mar,15514.795,15894.025
2011 - Apr,15584.407,15942.190
2011 - May,15566.892,15876.762
2011 - Jun,15521.306,15811.628
2011 - Jul,15615.900,15870.412
2011 - Aug,15715.872,15929.432
2011 - Sep,15611.271,15812.306
2011 - Oct,15857.206,16080.425
2011 - Nov,15838.177,16035.068
2011 - Dec,15831.418,16030.758
2012 - Jan,15937.483,16086.002
2012 - Feb,16211.610,16322.275
2012 - Mar,16057.379,16131.536
2012 - Apr,16180.811,16233.798
2012 - May,16224.075,16280.375
2012 - Jun,16216.504,16246.965
2012 - Jul,16318.568,16324.768
